tipo_celular,module_size,TYK2_MM,TYK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.059,1.0,102,40,39.22,2.80 (2.37-3.22),62,60.78,3.99 (3.49-4.50)
T cells 18,624.0,0.132,32.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,328.0,0.092,10.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.126,19.0,23,6,26.09,3.15 (2.19-4.11),17,73.91,2.02 (1.09-2.95)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.123,28.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.074,49.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.076,40.0,105,20,19.05,1.94 (1.44-2.45),85,80.95,3.54 (3.17-3.91)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.273,32.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.069,0.0,104,20,19.23,1.81 (1.31-2.31),84,80.77,3.14 (2.84-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.101,34.0,290,21,7.24,3.17 (2.30-4.04),269,92.76,3.87 (3.63-4.10)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
