tipo_celular,module_size,UBTF_MM,UBTF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.123,29.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,932.0,0.066,2.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.1,10.0,353,48,13.6,1.89 (1.62-2.16),305,86.4,4.31 (4.13-4.48)
GABA neurons expressing GLU receptors 22,823.0,0.128,20.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.086,9.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.077,7.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,322.0,0.059,19.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.149,24.0,455,21,4.62,1.58 (1.08-2.09),434,95.38,4.53 (4.35-4.71)
astrocytes 8,520.0,0.052,14.0,288,2,0.69,1.88 (-0.73-4.50),286,99.31,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,708.0,0.062,24.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,483.0,0.088,36.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,100.0,0.272,51.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1768.0,0.065,28.0,105,16,15.24,1.48 (1.11-1.86),89,84.76,3.55 (3.21-3.90)
oligodendrocytes 16,51.0,0.28,80.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,518.0,0.094,32.0,122,6,4.92,1.14 (0.18-2.09),116,95.08,4.18 (3.80-4.57)
astrocytes microglia 23,135.0,0.352,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.123,15.0,104,24,23.08,1.67 (1.33-2.02),80,76.92,3.26 (2.95-3.57)
oligodendrocytes 0,2078.0,0.1,23.0,238,13,5.46,2.29 (1.85-2.73),225,94.54,3.72 (3.49-3.95)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.035,1.0,87,40,45.98,1.98 (1.73-2.22),47,54.02,3.16 (2.76-3.57)
oligodendrocytes 2,1630.0,0.152,71.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51)
