tipo_celular,module_size,ULK2_MM,ULK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.125,28.0,71,5,7.04,3.00 (0.55-5.44),66,92.96,2.59 (2.19-2.99)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.118,19.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,44,12.46,2.77 (2.19-3.35),309,87.54,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,703.0,0.127,19.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,380.0,0.227,85.0,39,1,2.56,7.59 (NA-NA),38,97.44,2.83 (2.33-3.34)
da like neurons 11,853.0,0.13,51.0,133,21,15.79,2.37 (1.69-3.05),112,84.21,3.46 (3.12-3.80)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.115,24.0,62,4,6.45,3.67 (2.12-5.21),58,93.55,4.08 (3.61-4.55)
oligodendrocytes 20,279.0,0.141,24.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.182,70.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.041,7.0,66,27,40.91,2.93 (2.28-3.58),39,59.09,3.49 (2.96-4.02)
oligodendrocyte progenitor cells 12,708.0,0.121,55.0,25,6,24.0,4.40 (1.71-7.08),19,76.0,2.39 (1.49-3.29)
oligodendrocytes 10,1277.0,0.133,66.0,27,5,18.52,7.31 (5.40-9.21),22,81.48,5.17 (4.28-6.06)
connective tissue cells 21,88.0,0.363,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.033,6.0,36,10,27.78,7.57 (6.43-8.71),26,72.22,2.50 (1.75-3.24)
oligodendrocytes 16,81.0,0.208,65.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.195,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.119,7.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,1186.0,0.124,21.0,300,13,4.33,4.32 (3.40-5.24),287,95.67,3.77 (3.56-3.98)
microglia 1,1615.0,0.154,91.0,161,37,22.98,2.92 (2.17-3.68),124,77.02,3.39 (3.14-3.64)
oligodendrocytes 3,639.0,0.094,49.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88)
oligodendrocytes 2,804.0,0.161,59.0,84,17,20.24,2.76 (2.13-3.39),67,79.76,2.66 (2.27-3.06)
