tipo_celular,module_size,WBP2_MM,WBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.212,49.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282,0.222,73.0,241,1,0.41,4.12 (NA-NA),240,99.59,4.05 (3.80-4.31)
astrocytes 5,228,0.16,41.0,266,19,7.14,2.35 (1.72-2.97),247,92.86,4.30 (4.09-4.50)
oligodendrocyte progenitor cells 7,296,0.243,75.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.389,90.0,262,12,4.58,2.27 (1.24-3.31),250,95.42,4.27 (4.02-4.51)
GLU like neurons 17,380,0.183,58.0,39,3,7.69,3.40 (2.09-4.71),36,92.31,2.93 (2.33-3.52)
da like neurons 11,1220,0.347,88.0,410,8,1.95,3.09 (2.12-4.05),402,98.05,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,265,0.053,1.0,78,3,3.85,2.51 (1.56-3.47),75,96.15,4.46 (4.04-4.87)
endothelial cells 9,338,0.202,73.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,938,0.117,45.0,169,8,4.73,2.23 (1.19-3.28),161,95.27,3.56 (3.34-3.78)
GABA like neurons 14,2402,0.43,82.0,455,26,5.71,1.93 (1.39-2.46),429,94.29,4.55 (4.37-4.73)
astrocytes 8,520,0.202,71.0,288,8,2.78,3.02 (2.17-3.88),280,97.22,4.22 (4.01-4.42)
oligodendrocyte progenitor cells 12,3303,0.075,46.0,276,53,19.2,2.25 (1.98-2.53),223,80.8,3.95 (3.71-4.20)
oligodendrocytes 10,806,0.302,79.0,261,2,0.77,2.03 (1.97-2.09),259,99.23,4.39 (4.15-4.63)
connective tissue cells 21,139,0.32,60.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,443,0.127,32.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.222,52.0,291,9,3.09,2.96 (2.13-3.78),282,96.91,4.38 (4.16-4.61)
da neurons 6,300,0.172,55.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,80,0.357,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.153,31.0,178,12,6.74,2.01 (1.17-2.84),166,93.26,4.36 (4.10-4.62)
oligodendrocytes 0,546,0.155,42.0,252,19,7.54,1.44 (0.96-1.93),233,92.46,4.39 (4.15-4.62)
microglia 1,214,0.246,71.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,457,0.159,68.0,345,13,3.77,3.25 (2.57-3.94),332,96.23,4.33 (4.11-4.54)
oligodendrocytes 2,528,0.321,88.0,175,5,2.86,2.83 (1.15-4.51),170,97.14,4.43 (4.08-4.79)
