tipo_celular,module_size,WNK1_MM,WNK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.172,47.0,73,18,24.66,3.90 (3.64-4.15),55,75.34,3.42 (2.94-3.90)
T cells 18,388,0.117,29.0,84,10,11.9,2.65 (2.31-3.00),74,88.1,3.02 (2.65-3.39)
astrocytes 5,1141,0.179,95.0,166,56,33.73,2.85 (2.50-3.20),110,66.27,3.76 (3.43-4.09)
oligodendrocyte progenitor cells 7,448,0.131,43.0,108,2,1.85,6.11 (5.67-6.55),106,98.15,3.18 (2.75-3.62)
GABA neurons expressing GLU receptors 22,459,0.183,60.0,165,21,12.73,3.31 (2.61-4.01),144,87.27,5.46 (5.11-5.81)
GLU like neurons 17,300,0.169,32.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,265,0.166,40.0,4,2,50.0,2.71 (2.65-2.77),2,50.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,266,0.207,74.0,118,8,6.78,4.20 (2.99-5.41),110,93.22,4.79 (4.42-5.16)
endothelial cells 9,1653,0.088,19.0,297,26,8.75,4.50 (3.91-5.08),271,91.25,3.59 (3.38-3.80)
oligodendrocytes 20,676,0.293,53.0,110,30,27.27,4.00 (3.41-4.59),80,72.73,5.61 (5.05-6.18)
GABA like neurons 14,1300,0.196,45.0,306,88,28.76,4.01 (3.63-4.39),218,71.24,5.83 (5.53-6.13)
astrocytes 8,771,0.202,67.0,48,2,4.17,3.98 (-2.28-10.25),46,95.83,4.45 (3.70-5.21)
oligodendrocyte progenitor cells 12,143,0.46,75.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,236,0.353,18.0,82,27,32.93,4.93 (4.32-5.53),55,67.07,5.04 (4.27-5.82)
connective tissue cells 21,101,0.194,12.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1401,0.139,85.0,96,19,19.79,3.44 (2.75-4.12),77,80.21,3.67 (3.12-4.22)
oligodendrocytes 16,287,0.41,80.0,105,39,37.14,4.50 (3.89-5.12),66,62.86,5.75 (5.17-6.34)
da neurons 6,553,0.168,73.0,124,15,12.1,3.99 (3.06-4.91),109,87.9,4.22 (3.78-4.65)
astrocytes microglia 23,94,0.184,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.16,41.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,261,0.165,38.0,42,18,42.86,2.94 (2.08-3.80),24,57.14,5.51 (4.99-6.03)
microglia 1,813,0.086,13.0,79,2,2.53,6.16 (2.01-10.31),77,97.47,3.01 (2.63-3.40)
oligodendrocytes 3,127,0.316,70.0,45,12,26.67,3.80 (2.82-4.78),33,73.33,4.76 (3.43-6.08)
oligodendrocytes 2,528,0.09,2.0,175,13,7.43,3.88 (2.77-4.99),162,92.57,4.44 (4.07-4.81)
