tipo_celular,module_size,XPO1_MM,XPO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.114,1.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,477,0.182,63.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.132,51.0,166,32,19.28,2.85 (2.27-3.42),134,80.72,3.56 (3.28-3.83)
oligodendrocyte progenitor cells 7,666,0.159,44.0,127,6,4.72,1.80 (0.83-2.77),121,95.28,3.98 (3.65-4.32)
GABA neurons expressing GLU receptors 22,703,0.19,53.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,489,0.09,18.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,102,0.221,43.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,86,0.231,88.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,1653,0.185,85.0,297,11,3.7,5.04 (4.13-5.95),286,96.3,3.61 (3.41-3.82)
oligodendrocytes 20,358,0.134,41.0,31,1,3.23,3.82 (NA-NA),30,96.77,2.31 (1.87-2.74)
GABA like neurons 14,1300,0.179,36.0,306,12,3.92,1.67 (1.17-2.18),294,96.08,5.30 (5.05-5.55)
astrocytes 8,577,0.148,80.0,83,5,6.02,2.12 (0.91-3.33),78,93.98,3.32 (2.86-3.79)
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,55,19.93,2.78 (2.44-3.12),221,80.07,3.80 (3.55-4.06)
oligodendrocytes 10,2107,0.247,81.0,358,73,20.39,2.96 (2.55-3.37),285,79.61,4.20 (4.00-4.39)
connective tissue cells 21,139,0.248,16.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,261,0.116,30.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,71,0.11,8.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA
da neurons 6,518,0.147,80.0,122,36,29.51,2.73 (2.30-3.16),86,70.49,4.78 (4.30-5.26)
astrocytes microglia 23,166,0.146,4.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,514,0.147,26.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,613,0.246,97.0,127,17,13.39,3.14 (2.54-3.74),110,86.61,3.03 (2.53-3.53)
microglia 1,958,0.125,70.0,290,37,12.76,3.82 (3.27-4.38),253,87.24,3.81 (3.56-4.06)
oligodendrocytes 3,681,0.113,65.0,87,28,32.18,1.92 (1.53-2.32),59,67.82,2.94 (2.62-3.26)
oligodendrocytes 2,921,0.175,94.0,200,26,13.0,3.93 (3.33-4.53),174,87.0,3.57 (3.27-3.86)
