tipo_celular,module_size,ZMAT3_MM,ZMAT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.288,82.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,727,0.07,3.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.101,27.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,628,0.129,23.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,714,0.119,14.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,229,0.209,57.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,1220,0.155,40.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,238,0.215,73.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,303,0.086,19.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,228,0.168,39.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,2402,0.256,57.0,455,15,3.3,1.56 (0.97-2.14),440,96.7,4.48 (4.29-4.66)
astrocytes 8,354,0.135,59.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.07,38.0,276,11,3.99,2.11 (1.55-2.66),265,96.01,3.62 (3.40-3.84)
oligodendrocytes 10,735,0.131,69.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,111,0.196,6.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1768,0.068,31.0,105,9,8.57,1.84 (1.32-2.36),96,91.43,3.35 (3.00-3.71)
oligodendrocytes 16,156,0.158,19.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,553,0.264,93.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,54,0.298,38.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,787,0.182,95.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.107,14.0,127,2,1.57,3.30 (2.61-3.99),125,98.43,3.04 (2.62-3.47)
microglia 1,1615,0.119,64.0,161,15,9.32,1.47 (0.93-2.01),146,90.68,3.50 (3.24-3.77)
oligodendrocytes 3,457,0.105,44.0,345,2,0.58,2.25 (0.36-4.14),343,99.42,4.29 (4.08-4.50)
oligodendrocytes 2,1630,0.159,84.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
