tipo_celular,module_size,ZNF138_MM,ZNF138_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.135,33.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282.0,0.175,49.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.135,81.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,27,7.65,1.71 (1.47-1.94),326,92.35,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,848.0,0.181,37.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,1247.0,0.107,29.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,140.0,0.163,27.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.261,85.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090.0,0.169,60.0,74,13,17.57,2.23 (1.94-2.52),61,82.43,3.12 (2.67-3.58)
astrocytes 8,283.0,0.129,45.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.043,10.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,1277.0,0.076,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.045,14.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,91.0,0.219,65.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.355,78.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,1807.0,0.175,94.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45)
oligodendrocytes 0,2078.0,0.129,80.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93)
microglia 1,1615.0,0.106,44.0,161,27,16.77,1.71 (1.47-1.94),134,83.23,3.68 (3.39-3.96)
oligodendrocytes 3,854.0,0.144,90.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.142,60.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
