tipo_celular,module_size,ZNF33A_MM,ZNF33A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.14,16.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518.0,0.122,25.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,1141.0,0.085,4.0,166,19,11.45,1.55 (1.23-1.86),147,88.55,3.69 (3.44-3.94)
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39)
GABA neurons expressing GLU receptors 22,714.0,0.148,30.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,300.0,0.184,46.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,82.0,0.228,46.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.138,58.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,295.0,0.301,83.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,3052.0,0.16,68.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.054,15.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.141,97.0,276,28,10.14,1.68 (1.46-1.90),248,89.86,3.83 (3.61-4.05)
oligodendrocytes 10,2107.0,0.166,57.0,358,38,10.61,1.53 (1.28-1.79),320,89.39,4.25 (4.07-4.43)
connective tissue cells 21,102.0,0.268,41.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57)
astrocytes 15,443.0,0.15,48.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,104.0,0.24,70.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.222,7.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.155,55.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.119,15.0,300,1,0.33,3.05 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,1615.0,0.158,92.0,161,34,21.12,1.57 (1.30-1.84),127,78.88,3.86 (3.60-4.13)
oligodendrocytes 3,681.0,0.114,66.0,87,28,32.18,1.76 (1.50-2.02),59,67.82,3.03 (2.69-3.36)
oligodendrocytes 2,921.0,0.149,71.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
